name,body_part,exercise_category,base_calories_burned,description,media_url
보수볼 스쿼트,하체,하체근력운동,6.3,보수볼을 사용하여 균형과 하체 근력 강화,
스플릿 스쿼트,하체,하체근력운동,6.5,양다리를 분리하여 수행하는 스쿼트,
덤벨 스플릿 스쿼트,하체,하체근력운동,6.6,덤벨을 들고 수행하는 스플릿 스쿼트,
시티드 레그 프레스 카프 레이즈,하체,하체근력운동,5.7,앉은 자세에서 레그 프레스와 카프 레이즈 결합,
케틀벨 런지,하체,하체근력운동,6,케틀벨을 들고 수행하는 런지,
케틀벨 고블릿 스쿼트,하체,하체근력운동,6.3,케틀벨을 들고 수행하는 고블릿 스쿼트,
원 레그 케틀벨 데드리프트,하체,하체근력운동,6.8,한쪽 다리로 수행하는 케틀벨 데드리프트,
스미스 머신 힙 쓰러스트,하체,하체근력운동,6.7,스미스 머신에서 수행하는 힙 쓰러스트,
스미스 머신 카프 레이즈,하체,하체근력운동,5.6,스미스 머신을 사용한 카프 레이즈,
스탠딩 힙 어브덕션,하체,하체근력운동,5.5,서서 수행하는 힙 어브덕션,
밴드 힙 어브덕션,하체,하체근력운동,5.4,밴드를 사용하여 수행하는 힙 어브덕션,
바벨 제퍼슨 스쿼트,하체,하체근력운동,6.9,바벨로 수행하는 제퍼슨 스쿼트,
다리 찢기,하체,유연성및스트레칭운동,3.3,다리 유연성을 강화하는 스트레칭,
덤벨 크로스 런지,하체,하체근력운동,6,덤벨을 들고 크로스 런지 수행,
크랩 워킹,하체,하체근력운동,5.8,하체와 엉덩이를 강화하는 크랩 워킹,
몬스터 글루트 머신,하체,하체근력운동,6.7,글루트 근육을 타겟으로 한 머신 운동,
덤벨 워킹 런지,하체,하체근력운동,6.2,덤벨을 들고 이동하며 수행하는 런지,
바벨 워킹 런지,하체,하체근력운동,6.5,바벨을 들고 이동하며 수행하는 런지,
원 레그 스미스 머신 데드리프트,하체,하체근력운동,6.8,스미스 머신에서 한쪽 다리로 수행하는 데드리프트,
덤벨 와이드 스쿼트,하체,하체근력운동,6.5,덤벨을 들고 와이드 스탠스로 수행하는 스쿼트,
내로우 스쿼트,하체,하체근력운동,6.3,좁은 스탠스로 수행하는 스쿼트,
스미스 머신 크로스 런지,하체,하체근력운동,6.7,스미스 머신에서 크로스 런지 수행,
로우 런지,하체,하체근력운동,5.9,자세를 낮게 유지하며 수행하는 런지,
런지 트위스트,하체,코어강화운동,6,코어와 하체를 강화하는 트위스트 런지,
레버리지 스쿼트,하체,하체근력운동,6.5,레버리지 머신으로 하체 강화,
리버스 브이 스쿼트,하체,하체근력운동,6.7,리버스 자세로 수행하는 브이 스쿼트,
리버스 핵 스쿼트,하체,하체근력운동,6.8,리버스 자세로 수행하는 핵 스쿼트,
스미스 머신 스티프 레그 데드리프트,하체,하체근력운동,6.6,스미스 머신을 활용한 데드리프트,
스미스 머신 데드리프트,하체,하체근력운동,6.5,스미스 머신에서 수행하는 데드리프트,
스미스 머신 스모 데드리프트,하체,하체근력운동,6.8,스모 자세로 수행하는 데드리프트,
덤벨 레터럴 스텝업,하체,하체근력운동,6.4,덤벨을 들고 측면으로 스텝업 수행,
케틀벨 레터럴 스텝업,하체,하체근력운동,6.4,케틀벨을 사용하여 측면으로 스텝업,
덤벨 스텝업,하체,하체근력운동,6.2,덤벨을 들고 수행하는 스텝업,
밴드 스텝업,하체,하체근력운동,6,밴드를 사용하여 수행하는 스텝업,
스미스 머신 닐링 스쿼트,하체,하체근력운동,6.7,스미스 머신에서 수행하는 닐링 스쿼트,
덤벨 힙 쓰러스트,하체,하체근력운동,6.5,덤벨을 사용한 힙 쓰러스트,
노르딕 컬,하체,하체근력운동,6,햄스트링을 타겟으로 한 노르딕 컬,
씨시 스쿼트,하체,하체근력운동,6.5,앞벅지를 타겟으로 수행하는 스쿼트,
클램쉘,하체,하체근력운동,5.5,힙과 허벅지 외측 강화,
스미스 머신 스플릿 스쿼트,하체,하체근력운동,6.8,스미스 머신에서 수행하는 스플릿 스쿼트,
핵 프레스 머신,하체,하체근력운동,6.6,핵 프레스 머신을 이용한 하체 강화,
케이블 풀 쓰루,하체,하체근력운동,5.8,케이블 머신을 사용하여 엉덩이 강화,
보수볼 원 레그 스쿼트,하체,하체근력운동,7,보수볼 위에서 균형을 잡으며 수행,
중량 보수볼 스쿼트,하체,하체근력운동,6.9,보수볼을 사용하여 중량 스쿼트,
원 레그 핵 스쿼트,하체,하체근력운동,7,한쪽 다리로 수행하는 핵 스쿼트,
스텝박스 레그 컬,하체,하체근력운동,5.6,스텝박스와 함께 수행하는 레그 컬,
해머 스트렝스 레그 익스텐션,하체,하체근력운동,6,해머 스트렝스를 활용한 레그 익스텐션,
해머 스트렝스 힙 프레스,하체,하체근력운동,6.8,해머 스트렝스를 활용한 힙 프레스,
해머 스트렝스 스쿼트,하체,하체근력운동,6.7,해머 스트렝스 머신으로 수행하는 스쿼트,
해머 스트렝스 런지,하체,하체근력운동,6.6,해머 스트렝스를 사용한 런지,
해머 스트렝스 불가리안 스플릿 스쿼트,하체,하체근력운동,7.2,불가리안 스플릿 스쿼트를 해머 스트렝스로 수행,
해머 스트렝스 원 레그 익스텐션,하체,하체근력운동,6.5,한쪽 다리로 수행하는 레그 익스텐션,
스탠딩 힙 어브덕션 머신,하체,하체근력운동,5.5,스탠딩 자세로 힙 강화,
Cybex 스쿼트 프레스,하체,하체근력운동,6.7,Cybex 스쿼트 프레스 머신으로 수행,
점프 덤벨 스쿼트,하체,유산소운동,6.3,덤벨을 들고 점프 동작을 포함,
케이블 스쿼트,하체,하체근력운동,5.9,케이블 머신을 활용한 스쿼트,
원 레그 킥 (필라테스),하체,유연성및스트레칭운동,3.3,필라테스 동작으로 유연성 강화,
더블 레그 킥 (필라테스),하체,유연성및스트레칭운동,3.4,필라테스 동작으로 양다리 스트레칭,
시저 (필라테스),하체,유연성및스트레칭운동,3.3,필라테스 시저 동작으로 유연성 강화,
바이시클 (필라테스),하체,유연성및스트레칭운동,3.2,필라테스 바이시클 동작으로 유연성과 코어 강화,
숄더 브릿지 (필라테스),하체,유연성및스트레칭운동,3.3,필라테스 숄더 브릿지 동작,
사이드 킥 (필라테스),하체,유연성및스트레칭운동,3.2,필라테스 동작으로 측면 유연성 강화,
덤벨 사이드 런지,하체,하체근력운동,6.2,덤벨을 들고 측면으로 수행하는 런지,
브이 스쿼트 머신 런지,하체,하체근력운동,6.5,브이 스쿼트 머신을 활용한 런지,
스미스 머신 스태거드 데드리프트,하체,하체근력운동,6.8,스미스 머신을 사용하여 비대칭 데드리프트 수행,
덤벨 스태거드 데드리프트,하체,하체근력운동,6.7,덤벨로 비대칭 데드리프트 수행,
바벨 스태거드 데드리프트,하체,하체근력운동,6.9,바벨을 사용한 비대칭 데드리프트,
플레이트 스태거드 데드리프트,하체,하체근력운동,6.6,플레이트로 비대칭 데드리프트 수행,
케틀벨 스태거드 데드리프트,하체,하체근력운동,6.8,케틀벨을 사용한 비대칭 데드리프트,
스태거드 데드리프트,하체,하체근력운동,6.5,양손 비대칭 데드리프트,
원 레그 바벨 데드리프트,하체,하체근력운동,7,한쪽 다리로 수행하는 바벨 데드리프트,
브이 스쿼트 머신 원 레그 데드리프트,하체,하체근력운동,7.1,브이 스쿼트 머신을 사용하여 한쪽 다리 데드리프트 수행,
스탠딩 사이드킥,하체,유연성및스트레칭운동,3.3,서서 측면 킥으로 하체 스트레칭,
스탠딩 덤벨 사이드킥,하체,하체근력운동,5.8,덤벨을 들고 측면 킥,
바벨 오버헤드 스쿼트,하체,하체근력운동,7.2,바벨을 머리 위로 들고 스쿼트 수행,
스탠딩 킥 백,하체,하체근력운동,5.5,서서 엉덩이를 강화하는 킥 백,
티비알리스 레이즈,하체,하체근력운동,5.4,앞쪽 정강이 근육을 타겟으로 하는 운동,
원 레그 스미스 머신 스쿼트,하체,하체근력운동,6.8,스미스 머신을 사용하여 한쪽 다리 스쿼트 수행,
스미스 머신 덩키 킥,하체,하체근력운동,5.7,스미스 머신을 활용한 덩키 킥,
스미스 머신 불가리안 스플릿 스쿼트,하체,하체근력운동,7,스미스 머신을 활용한 불가리안 스플릿 스쿼트,
힙 브릿지,하체,하체근력운동,5.8,엉덩이를 강화하는 기본 힙 브릿지,
덤벨 내로우 스쿼트,하체,하체근력운동,6.3,덤벨을 들고 좁은 스탠스로 수행,
이지바 스티프 레그 데드리프트,하체,하체근력운동,6.7,이지바를 사용한 스티프 레그 데드리프트,
밴드 리버스 하이퍼,하체,유연성및스트레칭운동,3.4,밴드로 하이퍼 스트레칭 수행,
스미스 머신 스텝업 and 런지,하체,하체근력운동,6.8,스미스 머신을 활용한 스텝업과 런지,
덤벨 스쿼트 투 오버헤드 프레스,하체,전신강화운동,6.9,덤벨을 들고 스쿼트와 오버헤드 프레스 결합,
TRX 스프린터 스타트,하체,유산소운동,6.4,TRX를 사용하여 심폐와 하체 강화,
TRX 싱글 레그 스쿼트,하체,하체근력운동,7,TRX를 활용한 한쪽 다리 스쿼트,
TRX 서스펜디드 런지,하체,하체근력운동,6.8,TRX로 서스펜디드 런지 수행,
TRX 햄스트링 컬,하체,하체근력운동,6.5,TRX로 햄스트링을 강화,
박스 점프 오버,하체,유산소운동,6.5,박스를 넘으며 점프 수행,
퍼즈 스모 데드리프트,하체,하체근력운동,6.7,퍼즈 동작을 포함한 스모 데드리프트,
퍼즈 스쿼트,하체,하체근력운동,6.6,정지 동작을 포함한 스쿼트,
퍼펙트 스쿼트 머신,하체,하체근력운동,6.8,스쿼트를 위한 완벽한 자세 제공,
리어 킥 머신,하체,하체근력운동,6.5,리어 킥을 타겟으로 하는 머신 운동,
파이어 하이드런트,하체,하체근력운동,5.6,고관절과 엉덩이를 강화하는 운동,
브이 스쿼트 굿모닝,하체,하체근력운동,6.7,브이 스쿼트 머신을 활용한 굿모닝,
케이블 힙 플렉션,하체,하체근력운동,5.8,케이블로 힙 플렉션 수행,
힙 플렉션,하체,하체근력운동,5.5,힙 플렉션을 타겟으로 수행,
슬레드 푸쉬,하체,전신강화운동,6.9,슬레드를 밀며 전신 근육 강화,
벨트 스쿼트,하체,하체근력운동,6.7,벨트를 활용하여 하체 근력 강화,
짐볼 스플릿 스쿼트,하체,하체근력운동,7,짐볼을 사용하여 균형과 하체 근력 강화,
카프 익스텐션 머신,하체,하체근력운동,5.6,머신을 사용하여 종아리 강화,
케이블 백 런지,하체,하체근력운동,6.5,케이블로 백 런지 수행,
케틀벨 힙 쓰러스트,하체,하체근력운동,6.7,케틀벨을 활용한 힙 쓰러스트,
랜드마인 스쿼트,하체,하체근력운동,6.8,랜드마인을 사용하여 하체 근력 강화,
밴드 글루트 브릿지,하체,하체근력운동,5.8,밴드를 사용하여 수행하는 글루트 브릿지,
원 레그 프레스,하체,하체근력운동,6.8,한쪽 다리로 수행하는 레그 프레스,
스탠딩 힙 쓰러스트 머신,하체,하체근력운동,6.5,스탠딩 자세에서 힙 쓰러스트 머신 사용,
리버스 클램쉘,하체,유연성및스트레칭운동,3.4,엉덩이 외측을 강화하는 리버스 클램쉘 동작,
스쿼트 클린,하체,전신강화운동,7.2,스쿼트와 클린 동작을 결합한 전신 운동,
헥스 바 스쿼트,하체,하체근력운동,6.9,헥스 바를 사용한 스쿼트 동작,
체어 스쿼트,하체,하체근력운동,5.8,의자를 사용하여 수행하는 스쿼트,
뎁스 점프,하체,유산소운동,6.4,상자에서 점프하는 유산소 및 하체 강화 운동,
슬레드 드래그,하체,전신강화운동,7,슬레드를 끌며 전신 근력을 강화,
케틀벨 스모 스쿼트,하체,하체근력운동,6.7,케틀벨을 사용한 스모 스쿼트,
B-Stance 루마니안 데드리프트,하체,하체근력운동,6.5,한쪽 다리에 초점을 맞춘 루마니안 데드리프트,
케이블 루마니안 데드리프트,하체,하체근력운동,6.6,케이블 머신으로 루마니안 데드리프트 수행,
덤벨 레그 익스텐션,하체,하체근력운동,5.9,덤벨을 사용한 레그 익스텐션,
바운스 스쿼트,하체,하체근력운동,6,반복적인 바운스 동작을 포함한 스쿼트,
케틀벨 와이드 스쿼트,하체,하체근력운동,6.5,와이드 스탠스로 케틀벨을 사용한 스쿼트,
스미스 머신 리버스 런지,하체,하체근력운동,6.8,스미스 머신을 사용하여 리버스 런지 수행,
밴드 라잉 레그 레이즈,하체,유연성및스트레칭운동,3.3,밴드를 사용한 누운 자세의 다리 올리기,
덤벨 루마니안 데드리프트,하체,하체근력운동,6.6,덤벨로 수행하는 루마니안 데드리프트,
멀티 힙 머신,하체,하체근력운동,6,멀티 힙 머신을 사용한 하체 강화,
글루트 킥 백 머신,하체,하체근력운동,6.5,글루트 킥 백을 위한 머신 운동,
시시 스쿼트 머신,하체,하체근력운동,6.7,시시 스쿼트를 위한 머신 운동,
케이블 굿모닝 익스텐션,하체,하체근력운동,6.3,케이블 머신으로 굿모닝 익스텐션 수행,
펜듈럼 스쿼트,하체,하체근력운동,6.9,균형과 근력을 동시에 강화하는 펜듈럼 스쿼트,
덤벨 싱글 레그 카프 레이즈,하체,하체근력운동,6.2,덤벨을 들고 한쪽 다리로 수행하는 카프 레이즈,
바벨 바이셉 컬,이두,상체근력운동,5.8,바벨을 사용하여 이두근을 강화,
케이블 바이셉 컬,이두,상체근력운동,5.7,케이블 머신으로 이두근 운동 수행,
친 업,이두,상체근력운동,6.5,자체 체중으로 이두와 상체를 강화,
덤벨 프리쳐 컬,이두,상체근력운동,5.6,프리쳐 벤치에서 덤벨로 이두근 운동,
덤벨 바이셉 컬,이두,상체근력운동,5.5,덤벨을 사용하여 이두근을 타겟으로 운동,
이지바 바이셉 컬,이두,상체근력운동,5.6,이지바를 사용하여 손목 부담을 줄인 이두근 운동,
덤벨 해머 컬,이두,상체근력운동,5.4,덤벨을 세로로 잡고 이두근 강화,
컨센트레이션 컬,이두,상체근력운동,5.7,한쪽 팔씩 집중적으로 이두근을 운동,
프리쳐 컬 머신,이두,상체근력운동,5.5,프리쳐 머신으로 이두근 운동 수행,
케이블 해머 컬,이두,상체근력운동,5.6,케이블로 해머 그립을 사용한 이두근 운동,
밴드 해머 컬,이두,상체근력운동,5.4,밴드를 사용하여 해머 컬 수행,
바벨 프리쳐 컬,이두,상체근력운동,5.8,바벨로 프리쳐 벤치에서 이두근 운동,
덤벨 리버스 컬,이두,상체근력운동,5.6,덤벨을 역그립으로 잡고 이두와 전완근 운동,
바벨 리버스 컬,이두,상체근력운동,5.8,바벨로 역그립 컬 수행,
오버헤드 케이블 바이셉 컬,이두,상체근력운동,5.7,케이블 머신으로 오버헤드 위치에서 이두근 운동,
이지바 프리쳐 컬,이두,상체근력운동,5.6,이지바를 사용하여 프리쳐 벤치에서 이두근 운동,
인클라인 덤벨 컬,이두,상체근력운동,5.5,인클라인 벤치에서 덤벨로 이두근 운동,
인클라인 덤벨 해머 컬,이두,상체근력운동,5.6,인클라인 벤치에서 해머 그립으로 덤벨 컬,
인클라인 덤벨 리버스 컬,이두,상체근력운동,5.5,인클라인 벤치에서 역그립 덤벨 컬,
케이블 리버스 컬,이두,상체근력운동,5.6,케이블 머신으로 역그립 컬 수행,
이지바 리버스 컬,이두,상체근력운동,5.7,이지바를 사용하여 역그립 컬 수행,
케이블 프리쳐 컬,이두,상체근력운동,5.6,케이블 머신과 프리쳐 벤치 결합,
인클라인 바벨 리버스 컬,이두,상체근력운동,5.8,인클라인 벤치에서 바벨로 역그립 컬,
원 암 케이블 바이셉 컬,이두,상체근력운동,5.5,한쪽 팔씩 케이블 머신으로 이두근 운동,
해머스트렝스 프리쳐 컬,이두,상체근력운동,5.6,해머스트렝스 머신으로 프리쳐 컬 수행,
추천 이두 운동,이두,상체근력운동,5.7,가장 추천되는 이두 운동,
레그 바이셉 컬,이두,하체근력운동,5.4,다리 근육과 함께 이두를 타겟으로 운동,
리버스 푸쉬업,이두,상체근력운동,5.6,리버스 자세에서 푸쉬업으로 이두와 삼두 운동,
시티드 넥 탭,이두,유연성및스트레칭운동,3.5,목과 이두를 스트레칭,
스탠딩 플라이,이두,상체근력운동,5.5,스탠딩 자세로 이두 근육 운동,
써클 엘보우 암,이두,유연성및스트레칭운동,3.4,팔꿈치와 이두를 스트레칭,
프론트 스쿱스,이두,상체근력운동,5.6,프론트 스쿱 자세로 이두 근육 운동,
밴드 바이셉 컬,이두,상체근력운동,5.4,밴드를 사용하여 이두근 강화,
밴드 원 암 컬,이두,상체근력운동,5.3,밴드를 사용하여 한쪽 팔씩 이두 운동,
암 컬 머신,이두,상체근력운동,5.5,암 컬 머신으로 이두근 운동,
덤벨 조트맨 컬,이두,상체근력운동,5.6,덤벨로 조트맨 컬 수행,
시티드 덤벨 드래그 컬,이두,상체근력운동,5.5,시티드 자세에서 덤벨 드래그 컬 수행,
덤벨 드래그 컬,이두,상체근력운동,5.5,덤벨을 드래그하며 이두근 운동,
이지바 드래그 컬,이두,상체근력운동,5.6,이지바로 드래그 컬 수행,
케이블 드래그 컬,이두,상체근력운동,5.5,케이블 머신으로 드래그 컬 수행,
바벨 드래그 컬,이두,상체근력운동,5.7,바벨로 드래그 컬 수행,
해머 스트렝스 MTS 바이셉 컬,이두,상체근력운동,5.6,해머 스트렝스 MTS 머신을 사용하여 이두근 운동,
해머 스트렝스 MTS 원 암 바이셉 컬,이두,상체근력운동,5.5,한쪽 팔씩 해머 스트렝스 MTS 바이셉 컬 수행,
원 암 덤벨 프리쳐 컬,이두,상체근력운동,5.6,프리쳐 벤치에서 한쪽 팔씩 덤벨 컬,
스파이더 덤벨 컬,이두,상체근력운동,5.5,스파이더 자세로 덤벨 컬 수행,
원 암 프리쳐 컬 머신,이두,상체근력운동,5.5,프리쳐 컬 머신에서 한쪽 팔씩 운동,
디클라인 덤벨 컬,이두,상체근력운동,5.6,디클라인 벤치에서 덤벨 컬 수행,
TRX 바이셉스 컬,이두,상체근력운동,5.8,TRX를 사용하여 이두근 강화,
웨이터 컬,이두,상체근력운동,5.5,웨이터 자세로 수행하는 이두근 운동,
덤벨 시티드 해머컬,이두,상체근력운동,5.5,시티드 자세에서 덤벨로 해머컬 수행,
리버스 플레이트 컬,이두,상체근력운동,5.5,플레이트를 사용하여 역그립 컬,
로프 해머 컬,이두,상체근력운동,5.6,로프를 사용하여 해머 컬 수행,
베이지안 컬,이두,상체근력운동,5.6,이두를 집중적으로 타겟팅하는 컬,
야외 싸이클,스포츠,유산소운동,6,야외에서 자전거를 타며 심폐지구력 강화,
강아지 산책,스포츠,유산소운동,3.5,가벼운 산책으로 심신 안정과 운동 효과 제공,
등산,스포츠,유산소운동,6.5,언덕과 산길을 오르며 전신을 사용한 운동,
부모님과 산책하기,스포츠,유산소운동,3,가벼운 운동과 가족과의 유대감 증진,
필라테스,스포츠,코어강화운동,5.5,몸의 균형과 코어 강화를 위한 운동,
수영,스포츠,전신강화운동,7,전신 근육을 사용하는 수중 운동,
요가,스포츠,유연성및스트레칭운동,4,몸과 마음의 조화를 위한 스트레칭,
복싱,스포츠,전신강화운동,6.8,펀치와 움직임을 통한 전신 근력 강화,
산책,스포츠,유산소운동,3,가벼운 걷기로 심폐지구력을 증가시킴,
축구,스포츠,전신강화운동,7.5,팀 스포츠로 하체와 전신 근육을 사용,
풋살,스포츠,전신강화운동,7,작은 공간에서의 팀 스포츠,
테니스,스포츠,전신강화운동,6.5,상체와 하체 근육 사용과 민첩성 훈련,
골프,스포츠,유연성및스트레칭운동,4.5,집중력과 균형을 요하는 스포츠,
농구,스포츠,전신강화운동,7.5,점프와 달리기로 전신 근력 강화,
배드민턴,스포츠,전신강화운동,6.5,라켓 스포츠로 민첩성과 체력 향상,
클라이밍,스포츠,상체근력운동,7.5,상체 근육과 균형을 사용하는 스포츠,
검도,스포츠,전신강화운동,6.5,검을 사용한 민첩성과 근력 훈련,
주짓수,스포츠,전신강화운동,7,체술과 코어 강화 중심의 운동,
댄스,스포츠,유산소운동,5.5,리드미컬한 전신 움직임,
탁구,스포츠,전신강화운동,5.5,라켓 스포츠로 집중력과 민첩성 훈련,
스쿼시,스포츠,전신강화운동,6,라켓 스포츠로 심폐 능력과 근력 향상,
다이빙,스포츠,유산소운동,5,물속에서의 유산소 및 균형 훈련,
서핑,스포츠,전신강화운동,6.8,바다 위에서의 균형과 전신 근력 강화,
프리 다이빙,스포츠,코어강화운동,6,호흡 조절과 코어 근육 강화,
폴 댄스,스포츠,상체근력운동,6.5,폴을 사용한 상체와 코어 강화,
플라잉 요가,스포츠,유연성및스트레칭운동,5.5,공중에서의 스트레칭과 균형 강화,
밸리 댄스,스포츠,유산소운동,5,복부와 허리를 사용한 리드미컬한 운동,
줌바 댄스,스포츠,유산소운동,6,음악과 함께하는 춤 기반 유산소운동,
링피트,스포츠,전신강화운동,5.5,게임과 운동을 결합한 전신 운동,
크로스핏,스포츠,전신강화운동,7.5,고강도 인터벌 트레이닝,
헬스,스포츠,전신강화운동,6,다양한 기구를 사용하는 근력 운동,
홈트,스포츠,전신강화운동,5,집에서 간단히 수행 가능한 운동,
기타 스포츠,스포츠,유산소운동,4,다양한 활동으로 전신과 심폐지구력 강화,
스피닝,스포츠,유산소운동,6.8,실내 자전거로 심폐와 하체 강화,
유도,스포츠,전신강화운동,7,체술과 균형 중심의 스포츠,
점핑,스포츠,유산소운동,5.8,점프 동작으로 심폐지구력 강화,
Apple 건강,스포츠,유산소운동,3.5,가벼운 신체 활동 추적,
Google 피트니스,스포츠,유산소운동,3.5,건강 추적 중심의 가벼운 활동,
발레,스포츠,유연성및스트레칭운동,5.5,예술과 균형이 결합된 운동,
배구,스포츠,전신강화운동,6.5,공격과 수비로 전신 근육 강화,
쇼트트랙,스포츠,유산소운동,7,스케이팅으로 심폐 능력과 하체 강화,
아이스하키,스포츠,전신강화운동,7.5,팀 스포츠로 전신 근육 사용,
족구,스포츠,유산소운동,6,하체와 민첩성을 사용하는 스포츠,
골프 연습장,스포츠,유연성및스트레칭운동,4,스윙 연습으로 균형과 스트레칭 제공,
스크린 골프,스포츠,유연성및스트레칭운동,3.5,스크린을 통한 골프 스윙 연습,
태극권,스포츠,유연성및스트레칭운동,4,느린 움직임과 균형 중심의 운동,
레스밀,스포츠,전신강화운동,6.8,고강도 전신 근력 운동 프로그램,
볼링,스포츠,유산소운동,4,전신 조정과 집중력이 필요한 스포츠,
당구,스포츠,유연성및스트레칭운동,3,손과 눈의 조정을 위한 가벼운 운동,
번지핏,스포츠,전신강화운동,6.5,번지 로프를 사용한 고강도 운동,
썰매,스포츠,유산소운동,6,눈 위에서의 전신 운동,
펜싱,스포츠,상체근력운동,6.5,민첩성과 상체 근력을 타겟으로 한 스포츠,
포고 홉,스포츠,유산소운동,5.5,점프와 균형을 요하는 놀이 기반 운동,
야구,스포츠,전신강화운동,6.5,팀 스포츠로 전신 근육 사용,
역도,스포츠,상체근력운동,7.5,고중량으로 상체 근력 강화,
킥복싱,스포츠,전신강화운동,7,킥과 펀치로 전신 운동,
피클볼,스포츠,유산소운동,5.5,작은 코트에서의 라켓 스포츠,
벤치 프레스,가슴,상체근력운동,5.8,바벨을 사용하여 가슴 근육 강화,
덤벨 벤치 프레스,가슴,상체근력운동,5.7,덤벨을 사용하여 가슴 근육 운동,
덤벨 풀오버,가슴,상체근력운동,5.5,덤벨로 상체 근육 스트레칭과 강화,
펙덱 플라이,가슴,상체근력운동,5.4,머신으로 가슴 근육 타겟팅,
덤벨 플라이,가슴,상체근력운동,5.6,덤벨로 가슴 근육 스트레칭과 수축,
푸쉬업,가슴,상체근력운동,5,체중을 사용하여 가슴 근육 강화,
케이블 크로스오버,가슴,상체근력운동,5.5,케이블로 가슴 근육 수축 운동,
딥스,가슴,상체근력운동,5.8,딥스 운동으로 상체 근육과 가슴 강화,
체스트 프레스 머신,가슴,상체근력운동,5.7,머신을 사용하여 가슴 근육 운동,
스미스 머신 벤치 프레스,가슴,상체근력운동,5.6,스미스 머신으로 안정적인 벤치 프레스 수행,
디클라인 벤치 프레스,가슴,상체근력운동,5.8,디클라인 벤치에서 하부 가슴 강화,
디클라인 덤벨 벤치 프레스,가슴,상체근력운동,5.6,덤벨로 하부 가슴 근육 타겟팅,
인클라인 벤치 프레스,가슴,상체근력운동,5.8,상부 가슴 근육 강화를 위한 운동,
인클라인 덤벨 벤치 프레스,가슴,상체근력운동,5.6,덤벨을 사용하여 상부 가슴 근육 강화,
로우 케이블 크로스오버,가슴,상체근력운동,5.5,케이블로 하부 가슴 근육 타겟팅,
케이블 벤치 프레스,가슴,상체근력운동,5.4,케이블을 사용하여 벤치 프레스 수행,
밴드 체스트 프레스,가슴,상체근력운동,5.3,밴드를 사용하여 가슴 근육 운동,
디클라인 스미스 머신 벤치 프레스,가슴,상체근력운동,5.7,스미스 머신으로 안정적인 하부 가슴 운동,
인클라인 스미스 머신 벤치 프레스,가슴,상체근력운동,5.7,스미스 머신으로 상부 가슴 근육 강화,
인클라인 케이블 벤치 프레스,가슴,상체근력운동,5.6,케이블로 상부 가슴 근육 타겟팅,
인클라인 벤치 프레스 머신,가슴,상체근력운동,5.7,머신으로 상부 가슴 근육 강화,
인클라인 덤벨 플라이,가슴,상체근력운동,5.6,덤벨로 상부 가슴 스트레칭과 강화,
디클라인 벤치 프레스 머신,가슴,상체근력운동,5.6,머신으로 하부 가슴 근육 강화,
인클라인 케이블 플라이,가슴,상체근력운동,5.5,케이블로 상부 가슴 근육 수축,
인클라인 푸쉬업,가슴,상체근력운동,5.3,체중을 사용하여 상부 가슴 강화,
해머 벤치 프레스,가슴,상체근력운동,5.7,해머 머신을 사용하여 가슴 근육 강화,
원 암 덤벨 벤치프레스,가슴,상체근력운동,5.6,한쪽 팔씩 덤벨로 가슴 근육 운동,
디클라인 푸쉬업,가슴,상체근력운동,5.4,디클라인 자세에서 가슴 근육 강화,
숄더 탭 푸쉬업,가슴,상체근력운동,5.5,푸쉬업 중 어깨 터치로 균형 강화,
니 푸쉬업,가슴,상체근력운동,4.5,무릎을 대고 수행하는 가슴 근육 운동,
바벨 풀오버,가슴,상체근력운동,5.7,바벨로 상체 근육 스트레칭과 강화,
벤치 케이블 플라이,가슴,상체근력운동,5.5,벤치에서 케이블로 가슴 근육 수축,
아처 푸쉬업,가슴,상체근력운동,5.6,팔을 벌려 수행하는 푸쉬업,
다이아몬드 푸쉬업,가슴,상체근력운동,5.7,손을 다이아몬드 모양으로 만들어 가슴 강화,
와이드 푸쉬업,가슴,상체근력운동,5.4,팔을 넓게 벌려 수행하는 푸쉬업,
오버헤드 가슴 스트레칭,가슴,유연성및스트레칭운동,3.5,가슴 근육을 늘려주는 스트레칭,
랩 어라운드 가슴 스트레칭,가슴,유연성및스트레칭운동,3.4,양팔로 가슴 근육을 감싸며 스트레칭,
비하인드 암 가슴 스트레칭,가슴,유연성및스트레칭운동,3.5,팔을 뒤로 하여 가슴 스트레칭,
동적 가슴 스트레칭,가슴,유연성및스트레칭운동,3.6,움직임을 동반한 가슴 스트레칭,
엘보우 백 가슴 스트레칭,가슴,유연성및스트레칭운동,3.5,팔꿈치를 뒤로 젖혀 가슴 근육 스트레칭,
원 암 가슴 스트레칭,가슴,유연성및스트레칭운동,3.5,한쪽 팔씩 스트레칭하여 가슴 근육 이완,
해머스트렝스 체스트 프레스,가슴,상체근력운동,5.7,해머 머신으로 안정적인 가슴 근육 운동,
퍼즈 벤치 프레스,가슴,상체근력운동,5.8,잠시 멈추며 수행하는 벤치 프레스,
해머스트렝스 인클라인 체스트 프레스,가슴,상체근력운동,5.7,해머 머신으로 상부 가슴 근육 강화,
어시스트 딥스,가슴,상체근력운동,5.5,도움이 있는 딥스 운동으로 가슴 강화,
중량 딥스,가슴,상체근력운동,5.8,추가 무게를 사용하여 가슴 근육 강화,
링 딥,가슴,상체근력운동,5.7,링을 사용한 딥스로 상체 근육 강화,
